car_id,brand,model,year,km_driven,fuel,transmission,owner,engine_cc,seats,city,color,insurance,price_inr
C0058,Mahindra,XUV300,2021,44432.0,CNG,Manual,2,2755.0,5,Pune,Silver,Comprehensive,1411731
C0059,Maruti,Baleno,2024,12420.0,Petrol,Manual,1,2993.0,5,Delhi,Blue,Comprehensive,1457095
C0060,Hyundai,Verna,2020,62216.0,Diesel,Manual,4,998.0,5,Ahmedabad,Silver,Third Party,986836
C0061,Mahindra,XUV300,2017,86711.0,CNG,Manual,2,2993.0,5,Delhi,Grey,Third Party,1274164
C0062,Hyundai,Venue,2015,147783.0,Diesel,Manual,1,1497.0,5,Pune,Red,Comprehensive,837508
C0063,Volkswagen,Vento,2017,101277.0,Diesel,Manual,1,2993.0,7,Chennai,Blue,Third Party,1246817
C0064,Maruti,Baleno,2024,5000.0,Diesel,Automatic,2,998.0,7,Kolkata,Red,Third Party,1374716
C0065,Renault,Kwid,2015,107068.0,Petrol,Manual,2,1998.0,5,Kolkata,Silver,Third Party,605203
C0066,Honda,City,2018,109496.0,CNG,Manual,2,2755.0,5,Bengaluru,Black,Third Party,1057309
C0067,Kia,Seltos,2021,19100.0,Diesel,Automatic,1,1497.0,5,Pune,White,Comprehensive,1640181
C0068,Maruti,Baleno,2019,102260.0,Petrol,Manual,1,2993.0,5,Pune,White,Comprehensive,1028091
C0069,Volkswagen,Vento,2018,50044.0,Diesel,Manual,1,1498.0,7,Hyderabad,Black,Comprehensive,1213543
C0070,Toyota,Etios,2024,25627.0,Diesel,Manual,1,2393.0,5,Bengaluru,White,Third Party,1772720
C0071,Maruti,Dzire,2016,100495.0,Petrol,Manual,4,2393.0,5,Chennai,Red,Third Party,538289
C0072,Tata,Nexon,2015,141970.0,Diesel,Automatic,1,1998.0,5,Bengaluru,White,Expired,777758
C0073,Honda,City,2014,109154.0,Petrol,Manual,1,1199.0,5,Ahmedabad,White,Comprehensive,816549
C0074,Volkswagen,Taigun,2018,90553.0,Petrol,Manual,1,1199.0,5,Mumbai,Blue,Comprehensive,1086049
C0075,Honda,Amaze,2014,138843.0,Diesel,Automatic,1,1497.0,5,Pune,Black,Comprehensive,719982
C0076,Toyota,Fortuner,2022,48311.0,Petrol,Manual,2,1497.0,5,Delhi,White,Comprehensive,2167161
C0077,Maruti,Swift,2024,26026.0,Petrol,Manual,1,1199.0,5,Chennai,Grey,Third Party,1150387
C0078,Honda,WR-V,2019,78293.0,Diesel,Automatic,1,1998.0,7,Pune,Silver,Comprehensive,1450758
C0079,Maruti,Baleno,2022,49890.0,Diesel,Manual,1,2393.0,5,Delhi,Black,Comprehensive,1281937
C0080,Ford,Endeavour,2018,70488.0,Diesel,Automatic,2,998.0,5,Bengaluru,Blue,Comprehensive,1544482
C0081,Ford,EcoSport,2021,53145.0,Petrol,Automatic,1,2179.0,5,Pune,Blue,Comprehensive,1306107
C0082,Mahindra,Thar,2015,111347.0,Diesel,Manual,1,2755.0,5,Bengaluru,Black,Third Party,1141414
C0083,Hyundai,i20,2014,145566.0,CNG,Manual,2,1998.0,5,Pune,Silver,Third Party,671035
C0084,Ford,Figo,2016,81104.0,Petrol,Manual,1,2393.0,7,Hyderabad,Grey,Comprehensive,803066
C0085,Ford,Aspire,2021,50393.0,Petrol,Automatic,1,1498.0,5,Jaipur,Blue,Third Party,1041272
C0086,Toyota,Etios,2023,23523.0,Petrol,Manual,2,2393.0,5,Pune,Red,Comprehensive,1526802
C0087,Ford,Aspire,2021,29901.0,Petrol,Manual,2,2755.0,5,Chennai,Blue,Comprehensive,1300203
C0088,Renault,Kiger,2020,64078.0,Diesel,Manual,1,1498.0,5,Pune,Blue,Comprehensive,1145129
C0089,Toyota,Fortuner,2017,92251.0,Petrol,Automatic,1,1498.0,7,Kolkata,Black,Comprehensive,1964874
C0090,Mahindra,Thar,2017,106958.0,Petrol,Manual,1,1497.0,5,Bengaluru,White,Comprehensive,1248716
C0091,Honda,Jazz,2021,10745.0,Petrol,Manual,2,1591.0,7,Kolkata,Blue,Expired,1176341
C0092,Toyota,Yaris,2020,62700.0,Petrol,Manual,1,998.0,7,Kolkata,Grey,Comprehensive,1331109
C0093,Maruti,Baleno,2018,99388.0,Diesel,Automatic,1,1197.0,5,Ahmedabad,Silver,Third Party,849760
C0094,Maruti,Baleno,2020,94585.0,CNG,Manual,1,2993.0,7,Delhi,Black,Comprehensive,1196500
C0095,Hyundai,Creta,2023,43835.0,CNG,Manual,1,2179.0,5,Hyderabad,Black,Comprehensive,1489714
C0096,Maruti,Vitara Brezza,2014,123509.0,Petrol,Manual,1,2393.0,5,Hyderabad,White,Comprehensive,674265
C0097,Maruti,Dzire,2023,28573.0,Diesel,Manual,1,2993.0,5,Hyderabad,White,Third Party,1428916
C0098,Renault,Triber,2014,131708.0,Petrol,Manual,4,1591.0,7,Ahmedabad,Red,Comprehensive,503820
C0099,Volkswagen,Virtus,2021,33182.0,Petrol,Automatic,2,1497.0,5,Delhi,Red,Comprehensive,1469997
C0100,Mahindra,Bolero,2017,91359.0,Electric,Manual,1,2179.0,5,Kolkata,White,Comprehensive,1224515
C0101,Tata,Harrier,2015,97005.0,Diesel,Manual,2,2993.0,5,Kochi,Silver,Expired,1008107
C0102,Mahindra,XUV500,2014,133238.0,Petrol,Manual,3,2179.0,5,Chennai,Blue,Comprehensive,836874
C0103,Hyundai,Creta,2017,124298.0,Diesel,Manual,1,2993.0,5,Pune,Grey,Third Party,1254761
C0104,Hyundai,Grand i10,2018,73039.0,Petrol,Manual,1,1497.0,5,Bengaluru,Grey,Third Party,860269
C0105,Volkswagen,Vento,2022,25486.0,CNG,Manual,2,1199.0,5,Ahmedabad,Black,Comprehensive,1299851
C0106,Honda,Jazz,2024,18876.0,Petrol,Automatic,3,2993.0,5,Kolkata,Black,Comprehensive,1655412
C0107,Ford,Aspire,2019,59993.0,Petrol,Manual,3,1498.0,5,Hyderabad,Silver,Expired,849799
C0108,Toyota,Fortuner,2023,35574.0,Diesel,Manual,1,1591.0,7,Jaipur,Blue,Third Party,2423448
C0109,Maruti,Wagon R,2024,13473.0,Petrol,Manual,1,2393.0,5,Delhi,Black,Comprehensive,1300573
C0110,Toyota,Etios,2017,83783.0,CNG,Manual,1,1199.0,5,Mumbai,Red,Third Party,1017501
C0111,Kia,Carens,2020,53372.0,Electric,Manual,1,1197.0,5,Mumbai,Grey,Expired,1645556
C0112,Kia,Seltos,2024,19286.0,Petrol,Automatic,2,1197.0,5,Kolkata,Red,Comprehensive,1788475
C0113,Mahindra,Bolero,2016,117808.0,Diesel,Automatic,4,1591.0,5,Bengaluru,White,Third Party,933728
C0114,Toyota,Fortuner,2017,103053.0,Petrol,Manual,1,1591.0,7,Delhi,Red,Third Party,1952140
C0115,Toyota,Fortuner,2016,98609.0,Petrol,Automatic,1,2393.0,7,Jaipur,White,Comprehensive,2026641
C0116,Honda,City,2019,69055.0,Petrol,Automatic,1,998.0,5,Kolkata,Red,Comprehensive,1159493
C0117,Maruti,Vitara Brezza,2016,98764.0,Diesel,Manual,1,2755.0,5,Pune,Black,Third Party,881249
C0118,Mahindra,XUV300,2021,5000.0,Petrol,Manual,2,1591.0,5,Kolkata,White,Comprehensive,1441407
C0119,Maruti,Vitara Brezza,2014,143827.0,Petrol,Manual,1,1498.0,5,Bengaluru,Blue,Expired,335052
C0120,Tata,Nexon,2020,50961.0,Petrol,Automatic,1,1199.0,5,Hyderabad,Red,Third Party,1078511
C0121,Mahindra,XUV500,2024,5000.0,Petrol,Manual,2,1998.0,7,Hyderabad,Grey,Comprehensive,1782813
C0122,Hyundai,Verna,2015,130384.0,Diesel,Manual,1,1497.0,5,Pune,Blue,Comprehensive,814541
C0123,Volkswagen,Virtus,2015,133135.0,Electric,Manual,1,1591.0,5,Mumbai,Black,Third Party,1189334
C0124,Volkswagen,Polo,2018,71748.0,Petrol,Manual,3,1199.0,5,Hyderabad,Silver,Comprehensive,1009675
C0125,Toyota,Fortuner,2024,5000.0,CNG,Automatic,1,1998.0,5,Kochi,White,Comprehensive,2436311
C0126,Hyundai,Venue,2024,34730.0,Petrol,Automatic,1,2393.0,5,Kochi,Black,Expired,1643590
C0127,Renault,Kiger,2024,5000.0,Petrol,Manual,4,1197.0,5,Ahmedabad,Silver,Comprehensive,1184618
C0128,Kia,Seltos,2016,131433.0,CNG,Manual,1,1199.0,5,Mumbai,Silver,Comprehensive,1095942
C0129,Volkswagen,Virtus,2022,6431.0,Petrol,Manual,1,1498.0,5,Hyderabad,Grey,Comprehensive,1572706
C0130,Maruti,Baleno,2019,60319.0,Diesel,Manual,1,1197.0,5,Kolkata,Red,Comprehensive,854929
C0131,Renault,Kiger,2015,125683.0,Petrol,Automatic,1,1998.0,7,Jaipur,Grey,Comprehensive,801240
C0132,Renault,Triber,2024,7575.0,Diesel,Automatic,1,1998.0,5,Mumbai,White,Third Party,1414833
C0133,Volkswagen,Virtus,2024,26335.0,Petrol,Manual,2,1498.0,5,Chennai,Grey,Expired,1462059
C0134,Ford,Aspire,2023,5623.0,CNG,Manual,1,1199.0,7,Pune,Silver,Comprehensive,1111167
C0135,Ford,Figo,2024,5000.0,Petrol,Manual,2,1498.0,7,Kochi,Black,Comprehensive,1418364
C0136,Maruti,Swift,2024,5000.0,Diesel,Manual,2,1591.0,5,Kolkata,Grey,Comprehensive,1313055
C0137,Renault,Triber,2024,9271.0,Petrol,Manual,1,1199.0,7,Bengaluru,Silver,Third Party,1454085
C0138,Honda,City,2020,106293.0,Diesel,Manual,1,2179.0,5,Chennai,Grey,Expired,1449382
C0139,Kia,Seltos,2016,119986.0,CNG,Manual,3,2179.0,7,Jaipur,White,Comprehensive,1357838
C0140,Renault,Kwid,2021,36872.0,Diesel,Manual,1,1591.0,5,Bengaluru,Blue,Comprehensive,1038837
C0141,Mahindra,Scorpio,2016,127415.0,CNG,Automatic,2,2993.0,7,Delhi,Blue,Expired,1326053
C0142,Renault,Kiger,2017,95190.0,CNG,Automatic,2,1998.0,5,Mumbai,Silver,Comprehensive,776405
C0143,Hyundai,Creta,2015,95441.0,Diesel,Manual,3,998.0,5,Kochi,White,Comprehensive,673373
C0144,Honda,WR-V,2023,19715.0,Electric,Automatic,1,1199.0,5,Hyderabad,White,Comprehensive,1578465
C0145,Hyundai,Verna,2018,92231.0,Diesel,Manual,2,2993.0,5,Delhi,Blue,Expired,1217008
C0146,Hyundai,i20,2019,86918.0,Electric,Manual,2,1199.0,5,Mumbai,Black,Comprehensive,1095709
C0147,Hyundai,Grand i10,2015,131580.0,Diesel,Manual,3,1498.0,5,Ahmedabad,White,Comprehensive,578844
C0148,Maruti,Dzire,2024,5000.0,Petrol,Manual,1,1498.0,5,Kolkata,Grey,Comprehensive,1234648
C0149,Kia,Seltos,2020,84795.0,CNG,Manual,1,2993.0,7,Kolkata,Grey,Third Party,1797012
C0150,Tata,Tiago,2016,105133.0,Petrol,Manual,2,2755.0,7,Kolkata,Silver,Comprehensive,878953
C0151,Toyota,Etios,2014,102015.0,Petrol,Automatic,1,2393.0,5,Hyderabad,Grey,Third Party,1017443
C0152,Ford,Endeavour,2020,31271.0,Petrol,Manual,1,1197.0,5,Bengaluru,Blue,Third Party,1678222
C0153,Volkswagen,Polo,2022,9785.0,Petrol,Manual,1,1497.0,5,Kolkata,Grey,Third Party,1275402
C0154,Tata,Altroz,2016,82798.0,Diesel,Manual,2,2393.0,5,Hyderabad,Silver,Comprehensive,853179
C0155,Toyota,Fortuner,2021,45223.0,Petrol,Manual,1,1199.0,5,Kolkata,Black,Comprehensive,1987522
C0156,Mahindra,XUV300,2014,150116.0,Diesel,Automatic,4,2993.0,5,Mumbai,Blue,Third Party,923936
C0157,Toyota,Etios,2022,31433.0,Petrol,Manual,1,998.0,5,Kolkata,Grey,Third Party,1514181
C0158,Ford,EcoSport,2016,73127.0,Electric,Automatic,3,2393.0,5,Bengaluru,Silver,Comprehensive,1161714
C0159,Kia,Carens,2018,66041.0,Petrol,Manual,1,1497.0,5,Delhi,Blue,Comprehensive,1194258
C0160,Maruti,Wagon R,2021,59887.0,Diesel,Manual,3,1199.0,5,Chennai,Red,Third Party,768895
C0161,Renault,Duster,2017,94917.0,Petrol,Manual,1,2993.0,5,Delhi,Red,Comprehensive,930521
C0162,Volkswagen,Polo,2021,64518.0,Electric,Manual,1,998.0,5,Kolkata,Red,Comprehensive,1302805
C0163,Toyota,Glanza,2015,131969.0,Petrol,Manual,1,1498.0,7,Pune,Grey,Third Party,997563
C0164,Hyundai,Verna,2021,50294.0,Petrol,Automatic,2,1498.0,5,Mumbai,Silver,Comprehensive,1211618
C0165,Tata,Altroz,2016,107014.0,CNG,Automatic,1,1497.0,5,Bengaluru,Black,Comprehensive,752499
C0166,Mahindra,Bolero,2024,5000.0,Petrol,Manual,1,1199.0,5,Mumbai,Red,Comprehensive,1500637
C0167,Kia,Carens,2016,132128.0,Petrol,Automatic,1,2755.0,5,Pune,Red,Comprehensive,1327052
C0168,Hyundai,Venue,2015,132528.0,CNG,Manual,2,2393.0,7,Bengaluru,Red,Comprehensive,916898
C0169,Renault,Kwid,2017,89854.0,Diesel,Manual,2,1591.0,7,Kolkata,Black,Third Party,722521
C0170,Honda,Jazz,2022,41492.0,Electric,Automatic,3,1199.0,7,Hyderabad,Silver,Comprehensive,1583052
C0171,Maruti,Vitara Brezza,2016,107531.0,CNG,Manual,2,1197.0,5,Delhi,Blue,Third Party,614230
C0172,Honda,WR-V,2016,121293.0,Diesel,Automatic,1,1497.0,5,Jaipur,Red,Comprehensive,1040000
C0173,Tata,Nexon,2018,70810.0,Petrol,Manual,3,1497.0,5,Hyderabad,Red,Comprehensive,748381
C0174,Honda,Jazz,2022,12016.0,Petrol,Automatic,1,2755.0,5,Mumbai,White,Expired,1474710
C0175,Hyundai,Grand i10,2018,84762.0,Petrol,Manual,2,2393.0,5,Kochi,Blue,Third Party,736760
C0176,Renault,Triber,2015,96771.0,CNG,Automatic,1,1197.0,5,Chennai,Black,Comprehensive,586503
C0177,Toyota,Innova,2014,146792.0,Petrol,Automatic,2,2993.0,5,Kochi,Grey,Third Party,1253345
C0178,Tata,Altroz,2024,5000.0,Petrol,Manual,1,2179.0,7,Kolkata,Black,Comprehensive,1601760
C0179,Ford,Aspire,2021,58082.0,CNG,Manual,2,1497.0,5,Kolkata,Black,Third Party,942614
C0180,Hyundai,Creta,2024,31285.0,Diesel,Manual,2,1998.0,5,Jaipur,White,Third Party,1548237
C0181,Mahindra,XUV300,2020,38566.0,Petrol,Manual,1,998.0,5,Ahmedabad,Red,Comprehensive,1225194
C0182,Tata,Altroz,2014,103183.0,Petrol,Manual,3,2393.0,5,Jaipur,Grey,Comprehensive,703552
C0183,Hyundai,i20,2018,36645.0,CNG,Manual,1,1591.0,7,Pune,Silver,Comprehensive,1124786
C0184,Hyundai,i20,2020,62429.0,Diesel,Automatic,1,998.0,5,Jaipur,White,Expired,1109170
C0185,Tata,Tiago,2016,98020.0,Petrol,Automatic,1,1497.0,7,Jaipur,Grey,Third Party,839364
C0186,Toyota,Yaris,2022,39428.0,Petrol,Manual,2,1591.0,7,Kochi,Blue,Comprehensive,1476583
C0187,Ford,Aspire,2018,102491.0,Petrol,Automatic,1,2993.0,5,Chennai,Blue,Expired,1026575
C0188,Mahindra,XUV300,2024,5000.0,Petrol,Manual,1,1199.0,5,Mumbai,Silver,Third Party,1489585
C0189,Tata,Harrier,2019,84821.0,CNG,Manual,1,1197.0,5,Jaipur,Grey,Comprehensive,1214085
C0190,Hyundai,i20,2016,98111.0,Petrol,Manual,2,2179.0,5,Kochi,Blue,Comprehensive,722849
C0191,Honda,Amaze,2021,71425.0,Diesel,Automatic,1,1498.0,5,Pune,Blue,Comprehensive,1327933
C0192,Volkswagen,Polo,2022,23408.0,Diesel,Automatic,1,2179.0,5,Jaipur,Silver,Comprehensive,1418865
C0193,Ford,EcoSport,2015,106777.0,Petrol,Manual,2,1497.0,5,Delhi,Red,Third Party,662132
C0194,Maruti,Swift,2023,5000.0,Petrol,Manual,1,1591.0,5,Bengaluru,Silver,Comprehensive,1100247
C0195,Mahindra,Thar,2018,91352.0,Petrol,Automatic,3,1199.0,5,Ahmedabad,Red,Expired,1247129
C0196,Honda,WR-V,2016,113433.0,Diesel,Manual,2,1998.0,5,Delhi,Grey,Comprehensive,809009
C0197,Ford,EcoSport,2021,11412.0,Petrol,Manual,1,2393.0,7,Bengaluru,Red,Comprehensive,1416644
C0198,Toyota,Fortuner,2022,18962.0,Diesel,Manual,2,1591.0,5,Bengaluru,Blue,Comprehensive,2202008
C0199,Tata,Safari,2015,92897.0,Electric,Manual,1,1199.0,5,Ahmedabad,Silver,Comprehensive,1262111
C0200,Ford,Aspire,2015,83024.0,Diesel,Manual,2,1497.0,5,Ahmedabad,Blue,Third Party,586069
C0201,Toyota,Yaris,2021,41123.0,Petrol,Automatic,1,1591.0,5,Mumbai,White,Comprehensive,1580403
C0202,Mahindra,Bolero,2016,105384.0,Diesel,Manual,2,1497.0,5,Mumbai,White,Comprehensive,935211
C0203,Toyota,Fortuner,2022,35058.0,Petrol,Manual,1,2393.0,5,Kolkata,Silver,Comprehensive,2228427
C0204,Maruti,Wagon R,2023,27169.0,Diesel,Automatic,1,2993.0,7,Pune,Grey,Third Party,1596835
C0205,Ford,EcoSport,2018,88312.0,Petrol,Manual,4,1498.0,5,Kochi,Silver,Third Party,793870
C0206,Maruti,Dzire,2015,126858.0,Petrol,Manual,3,2993.0,5,Kolkata,Grey,Comprehensive,646093
C0207,Maruti,Vitara Brezza,2022,20280.0,Petrol,Manual,2,1591.0,5,Bengaluru,Black,Third Party,1135949
C0208,Toyota,Etios,2024,5000.0,Petrol,Manual,1,2993.0,5,Kolkata,Red,Comprehensive,1738819
C0209,Toyota,Fortuner,2019,80880.0,Diesel,Manual,1,1497.0,7,Kochi,Grey,Comprehensive,2098274
C0210,Tata,Harrier,2022,12455.0,Petrol,Manual,2,998.0,5,Chennai,Red,Expired,1242772
C0211,Hyundai,Grand i10,2018,54453.0,Petrol,Manual,1,2179.0,5,Kolkata,Black,Comprehensive,956757
C0212,Maruti,Vitara Brezza,2020,51341.0,Petrol,Manual,1,1199.0,5,Hyderabad,Black,Comprehensive,972596
C0213,Tata,Harrier,2024,5000.0,Petrol,Manual,1,1497.0,5,Pune,Blue,Third Party,1597696
C0214,Ford,Figo,2024,19920.0,Diesel,Automatic,3,1497.0,5,Bengaluru,Red,Comprehensive,1343335
C0215,Maruti,Vitara Brezza,2019,96782.0,Diesel,Manual,2,1197.0,5,Delhi,Red,Third Party,943398
C0216,Mahindra,Thar,2017,95804.0,Petrol,Manual,1,1197.0,5,Jaipur,Silver,Comprehensive,1182540
C0217,Hyundai,Creta,2023,36905.0,Petrol,Manual,1,1591.0,5,Hyderabad,Grey,Comprehensive,1766583
C0218,Kia,Sonet,2020,76732.0,Petrol,Automatic,2,1498.0,7,Pune,Blue,Comprehensive,1452698
C0219,Mahindra,XUV500,2016,126164.0,Petrol,Automatic,1,2755.0,5,Hyderabad,Red,Comprehensive,1184237
C0220,Hyundai,Venue,2014,128792.0,Petrol,Manual,1,998.0,7,Chennai,Blue,Comprehensive,713263
C0221,Hyundai,Verna,2017,78610.0,Petrol,Manual,4,2179.0,5,Hyderabad,Blue,Comprehensive,890403
C0222,Renault,Kwid,2023,5000.0,Electric,Manual,1,1197.0,5,Kolkata,Silver,Comprehensive,1324667
C0223,Volkswagen,Vento,2019,78139.0,Petrol,Manual,1,2179.0,5,Mumbai,White,Expired,1033487
C0224,Tata,Safari,2019,60568.0,Petrol,Manual,1,1197.0,5,Mumbai,Silver,Comprehensive,1260232
C0225,Hyundai,i20,2021,46253.0,Petrol,Manual,1,1199.0,5,Kochi,Silver,Comprehensive,1195944
C0226,Honda,Jazz,2015,122877.0,Petrol,Manual,2,2993.0,7,Ahmedabad,Silver,Comprehensive,861534
C0227,Maruti,Swift,2021,44234.0,Diesel,Automatic,2,2393.0,5,Mumbai,Red,Third Party,1094813
C0228,Maruti,Swift,2015,125427.0,CNG,Manual,1,1998.0,5,Ahmedabad,Silver,Third Party,480492
C0229,Kia,Seltos,2019,67376.0,Petrol,Manual,4,2755.0,5,Pune,Grey,Comprehensive,1475116
C0230,Kia,Seltos,2014,113096.0,Petrol,Automatic,3,2393.0,5,Chennai,Silver,Comprehensive,1214295
C0231,Maruti,Baleno,2022,38940.0,Diesel,Automatic,4,1591.0,5,Hyderabad,Silver,Comprehensive,1152183
C0232,Hyundai,Creta,2017,88143.0,Petrol,Automatic,1,1197.0,5,Kochi,Silver,Comprehensive,1075521
C0233,Toyota,Yaris,2017,125951.0,Diesel,Manual,2,1199.0,5,Hyderabad,Red,Comprehensive,1088842
C0234,Maruti,Wagon R,2016,144493.0,Diesel,Manual,1,2755.0,5,Pune,Red,Comprehensive,780154
C0235,Maruti,Swift,2024,5000.0,Petrol,Manual,1,2755.0,7,Kolkata,Black,Comprehensive,1468858
